name,stargazers,watchers,forks,releases,createdAt,primaryLanguage,url,isFork
mypy-dummy,{'totalCount': 6},{'totalCount': 2},{'totalCount': 0},{'totalCount': 0},2017-08-31T16:42:53Z,{'name': 'Python'},https://github.com/gvanrossum/mypy-dummy,False
pep550,{'totalCount': 7},{'totalCount': 3},{'totalCount': 1},{'totalCount': 0},2017-09-05T21:59:49Z,{'name': 'Python'},https://github.com/gvanrossum/pep550,False
welcome-wagon-2018,{'totalCount': 2},{'totalCount': 1},{'totalCount': 0},{'totalCount': 0},2018-01-24T00:46:13Z,{'name': 'Python'},https://github.com/gvanrossum/welcome-wagon-2018,True
cpython,{'totalCount': 59},{'totalCount': 6},{'totalCount': 3},{'totalCount': 0},2018-07-17T18:01:14Z,{'name': 'Python'},https://github.com/gvanrossum/cpython,True
mirror-cwi-stdwin,{'totalCount': 2},{'totalCount': 1},{'totalCount': 0},{'totalCount': 0},2018-09-29T05:00:49Z,{'name': 'C'},https://github.com/gvanrossum/mirror-cwi-stdwin,True
mypy_mypyc-wheels,{'totalCount': 4},{'totalCount': 2},{'totalCount': 0},{'totalCount': 1155},2018-10-10T20:02:06Z,{'name': 'Shell'},https://github.com/mypyc/mypy_mypyc-wheels,False
memcached,{'totalCount': 4},{'totalCount': 1},{'totalCount': 0},{'totalCount': 0},2018-12-23T23:53:16Z,{'name': 'C'},https://github.com/gvanrossum/memcached,True
python-memcached,{'totalCount': 5},{'totalCount': 1},{'totalCount': 0},{'totalCount': 0},2018-12-24T19:40:55Z,{'name': 'Python'},https://github.com/gvanrossum/python-memcached,True
mypy_extensions,{'totalCount': 68},{'totalCount': 13},{'totalCount': 10},{'totalCount': 0},2019-01-14T23:37:26Z,{'name': 'Python'},https://github.com/python/mypy_extensions,False
stone,{'totalCount': 3},{'totalCount': 1},{'totalCount': 1},{'totalCount': 0},2019-03-08T19:15:25Z,{'name': 'Python'},https://github.com/gvanrossum/stone,True
pygl,{'totalCount': 3},{'totalCount': 2},{'totalCount': 0},{'totalCount': 0},2019-04-27T10:47:30Z,{'name': 'Python'},https://github.com/neogeny/pygl,False
pegen,{'totalCount': 147},{'totalCount': 17},{'totalCount': 19},{'totalCount': 0},2019-05-07T16:43:15Z,{'name': 'Python'},https://github.com/gvanrossum/pegen,False
PackCC,{'totalCount': 3},{'totalCount': 0},{'totalCount': 1},{'totalCount': 0},2019-05-30T14:40:05Z,{'name': 'C'},https://github.com/gvanrossum/PackCC,True
ctok,{'totalCount': 51},{'totalCount': 3},{'totalCount': 5},{'totalCount': 0},2019-06-22T03:38:29Z,{'name': 'C'},https://github.com/gvanrossum/ctok,False
test-581,{'totalCount': 2},{'totalCount': 2},{'totalCount': 0},{'totalCount': 0},2019-06-28T18:52:53Z,,https://github.com/willingc/test-581,False
guidos_time_machine,{'totalCount': 50},{'totalCount': 11},{'totalCount': 2},{'totalCount': 0},2020-03-05T04:06:18Z,{'name': 'Python'},https://github.com/gvanrossum/guidos_time_machine,False
name,stargazers,watchers,forks,releases,createdAt,primaryLanguage,url,isFork
mypy,{'totalCount': 8116},{'totalCount': 173},{'totalCount': 1198},{'totalCount': 0},2012-12-07T13:30:23Z,{'name': 'Python'},https://github.com/python/mypy,False
500lines,{'totalCount': 208},{'totalCount': 13},{'totalCount': 35},{'totalCount': 0},2014-02-25T15:52:58Z,{'name': 'Python'},https://github.com/gvanrossum/500lines,True
ballot-box,{'totalCount': 8},{'totalCount': 2},{'totalCount': 4},{'totalCount': 0},2015-03-13T23:41:12Z,{'name': 'Python'},https://github.com/gvanrossum/ballot-box,False
micropython,{'totalCount': 444},{'totalCount': 68},{'totalCount': 226},{'totalCount': 2},2015-08-07T11:58:53Z,{'name': 'C'},https://github.com/bbcmicrobit/micropython,False
asyncio,{'totalCount': 9},{'totalCount': 1},{'totalCount': 2},{'totalCount': 0},2015-09-25T16:14:09Z,{'name': 'Python'},https://github.com/gvanrossum/asyncio,True
cpython,{'totalCount': 3},{'totalCount': 1},{'totalCount': 0},{'totalCount': 6},2015-11-05T12:07:26Z,{'name': 'Python'},https://github.com/fake-python/cpython,False
pyxl3,{'totalCount': 107},{'totalCount': 12},{'totalCount': 13},{'totalCount': 0},2016-01-15T19:07:08Z,{'name': 'Python'},https://github.com/gvanrossum/pyxl3,True
make-stub-files,{'totalCount': 20},{'totalCount': 3},{'totalCount': 3},{'totalCount': 0},2016-01-26T16:54:22Z,{'name': 'Python'},https://github.com/edreamleo/make-stub-files,False
typed_ast,{'totalCount': 152},{'totalCount': 18},{'totalCount': 35},{'totalCount': 0},2016-02-16T22:40:09Z,{'name': 'C'},https://github.com/python/typed_ast,False
mypy-website,{'totalCount': 10},{'totalCount': 7},{'totalCount': 4},{'totalCount': 0},2016-03-11T16:02:25Z,{'name': 'HTML'},https://github.com/JukkaL/mypy-website,False
